student_id,gender,department,year,scholarship_rate,midterm_score,project_score,quiz_average,club_participation,library_visits,advisor_meetings,study_hours_mean,study_hours_sum,lms_logins_mean,lms_logins_sum,attendance_rate_mean,week_start_count,final_score,risk_status
S1000,M,Computer Engineering,2,100.0,43.9,93.7,73.4,Y,13,1,7.125,85.5,15.083333333333334,181.0,0.8175,12,86.44375470680501,Not_At_Risk
S1001,M,Computer Engineering,2,0.0,67.3,60.9,76.8,N,6,2,8.049999999999999,96.6,18.833333333333332,226.0,0.7875,12,78.63457871486884,Not_At_Risk
S1002,M,Dep-Unknown,2,0.0,49.9,76.6,83.1,N,4,1,5.45,65.4,13.5,162.0,0.8183333333333334,12,56.55969612628555,At_Risk
S1003,F,Computer Engineering,2,75.0,70.1,42.2,82.0,N,9,5,7.316666666666666,87.8,21.333333333333332,256.0,0.8441666666666667,12,86.15887071767244,Not_At_Risk
S1004,F,AI Engineering,2,50.0,56.6,66.5,59.6,Y,1,1,9.766666666666667,117.2,21.75,261.0,0.8066666666666666,12,68.60618047100571,Not_At_Risk
S1005,F,Dep-Unknown,3,100.0,67.2,74.1,68.5,N,5,5,10.558333333333334,126.7,22.916666666666668,275.0,0.7983333333333333,12,100.0,Not_At_Risk
S1006,F,Computer Engineering,1,0.0,40.8,67.5,63.2,N,12,0,6.291666666666667,75.5,13.75,165.0,0.765,12,58.169954732842825,At_Risk
S1007,M,Computer Engineering,1,75.0,81.7,56.5,71.9,Y,6,2,7.8500000000000005,94.2,17.583333333333332,211.0,0.8424999999999999,12,85.05085536763366,Not_At_Risk
S1008,F,Computer Engineering,4,0.0,84.4,62.3,51.3,N,4,1,8.0,96.0,19.75,237.0,0.81,12,84.91454656590024,Not_At_Risk
S1009,M,Industrial Engineering,3,0.0,59.7,57.9,49.3,Y,5,2,8.283333333333333,99.4,20.083333333333332,241.0,0.8166666666666665,12,77.87008224372643,Not_At_Risk
S1010,F,AI Engineering,2,0.0,65.5,70.3,71.3,Y,11,1,11.233333333333334,134.8,27.3,273.0,0.73,12,100.0,Not_At_Risk
S1011,Gender-Unknown,Computer Engineering,2,75.0,79.4,83.0,95.2,N,12,2,4.3500000000000005,52.2,12.333333333333334,148.0,0.7333333333333334,12,84.88278275687102,Not_At_Risk
S1012,F,Industrial Engineering,1,50.0,64.1,67.1,85.2,N,5,2,6.55,78.6,16.416666666666668,197.0,0.7641666666666667,12,77.29286101733872,Not_At_Risk
